dt;o;h;l;c;agb;ags;dur;qt;trd;dirn;is_rev;seq_before;wick;wick_net;trav;brk;newday;sujo;ok;dur_eff;agtot;unk_share;avg_trd;hora;dpos;minac;elig_ntsl;sinal;y;bars
2026-07-07 10:40:28.025;175450,0;175500,0;175375,0;175500,0;23458,0;20394,0;1,03;62038,0;17713,0;1;1;5;15,0;5,0;25,0;0;0;0;1;1,03;43852,0;0,2931429124085238;3,5023993676960425;10,666666666666666;0,335016835016835;95,4399999999999;1;1;1,0;3,0
2026-07-07 10:42:49.954;175500,0;175550,0;175440,0;175550,0;4999,0;2865,0;0,18;10783,0;3141,0;1;1;3;12,0;2,0;22,0;0;0;0;1;0,18;7864,0;0,2707038857460818;3,4329831263928687;10,7;0,3686868686868687;97,74999999999991;1;1;1,0;3,0
2026-07-07 10:44:54.776;175550,0;175600,0;175470,0;175600,0;9199,0;6133,0;0,2;20799,0;5820,0;1;1;3;16,0;6,0;26,0;0;0;0;1;0,2;15332,0;0,26284917544112696;3,5737113402061857;10,733333333333333;0,40235690235690236;99,77999999999992;1;1;1,0;3,0
2026-07-07 10:49:00.795;175450,0;175500,0;175395,0;175500,0;11505,0;6171,0;0,42;24232,0;6938,0;1;1;6;11,0;1,0;21,0;0;0;0;1;0,42;17676,0;0,2705513370749422;3,49264917843759;10,816666666666666;0,30781758957654726;103,79999999999993;1;1;0,0;3,0
2026-07-07 10:50:36.506;175400,0;175450,0;175310,0;175450,0;17376,0;16415,0;0,4;43423,0;12197,0;1;1;3;18,0;8,0;28,0;0;0;0;1;0,4;33791,0;0,2218179305897796;3,5601377387882267;10,833333333333334;0,2752442996742671;105,34999999999992;1;1;0,0;1,0
2026-07-07 11:31:30.087;173900,0;173975,0;173850,0;173850,0;14432,0;18207,0;0,63;44955,0;11952,0;-1;1;6;15,0;5,0;25,0;0;0;0;1;0,63;32639,0;0,2739628517406295;3,7612951807228914;11,516666666666667;0,3761261261261261;145,48999999999992;1;1;0,0;1,0
2026-07-07 11:39:04.021;174000,0;174060,0;173950,0;173950,0;7490,0;9884,0;0,87;24807,0;6986,0;-1;1;4;12,0;2,0;22,0;0;0;0;1;0,87;17374,0;0,29963316805740314;3,550959060979101;11,65;0,3310810810810811;153,01999999999992;1;1;0,0;1,0
2026-07-07 11:41:46.061;174150,0;174215,0;174100,0;174100,0;7572,0;10385,0;0,3;24928,0;7245,0;-1;1;4;13,0;3,0;23,0;0;0;0;1;0,3;17957,0;0,279645378690629;3,44071773636991;11,683333333333334;0,2635135135135135;155,68999999999994;1;1;0,0;1,0
2026-07-07 12:21:42.843;173850,0;173940,0;173800,0;173800,0;36673,0;40238,0;4,48;110165,0;30188,0;-1;1;3;18,0;8,0;28,0;0;0;0;1;4,48;76911,0;0,3018563064494168;3,6492977341990196;12,35;0,39864864864864863;195,26999999999995;1;1;0,0;1,0
2026-07-07 13:21:34.299;173750,0;173825,0;173700,0;173700,0;23085,0;31068,0;3,55;70541,0;18289,0;-1;1;4;15,0;5,0;25,0;0;0;0;1;3,55;54153,0;0,23231879332586722;3,8570178795997596;13,35;0,4311111111111111;254,93999999999994;1;1;0,0;1,0
2026-07-07 14:02:16.414;173900,0;173985,0;173850,0;173850,0;20405,0;27885,0;3,52;69838,0;20232,0;-1;1;5;17,0;7,0;27,0;0;0;0;1;3,52;48290,0;0,3085426272230018;3,4518584420719653;14,033333333333333;0,36444444444444446;295,55999999999995;1;1;0,0;1,0
2026-07-07 14:29:24.992;174150,0;174210,0;174100,0;174100,0;21786,0;30636,0;4,58;74815,0;19630,0;-1;1;6;12,0;2,0;22,0;0;0;0;1;4,58;52422,0;0,2993116353672392;3,8112582781456954;14,483333333333333;0,25333333333333335;322,63;1;1;1,0;5,0
2026-07-07 15:35:46.237;174150,0;174250,0;174100,0;174100,0;20634,0;35957,0;3,05;80779,0;20988,0;-1;1;8;20,0;10,0;30,0;0;0;0;1;3,05;56591,0;0,29943425890392306;3,848818372403278;15,583333333333334;0,25333333333333335;388,81000000000006;1;1;0,0;1,0
2026-07-07 16:04:49.167;174100,0;174175,0;174050,0;174050,0;17840,0;25353,0;2,65;56032,0;13659,0;-1;1;3;15,0;5,0;25,0;0;0;0;1;2,65;43193,0;0,22913692175899486;4,102203675232447;16,066666666666666;0,27555555555555555;417,71999999999997;1;1;0,0;3,0
2026-07-08 10:23:14.185;172350,0;172405,0;172300,0;172300,0;6809,0;13288,0;0,35;24699,0;6006,0;-1;1;6;11,0;1,0;21,0;0;0;0;1;0,35;20097,0;0,18632333292845865;4,112387612387613;10,383333333333333;0,34308510638297873;80,27;1;1;0,0;1,0
2026-07-08 11:55:34.550;172300,0;172395,0;172250,0;172250,0;26208,0;27429,0;1,5;67995,0;17245,0;-1;1;3;19,0;9,0;29,0;0;0;0;1;1,5;53637,0;0,21116258548422678;3,942881994781096;11,916666666666666;0,3696808510638298;170,79999999999995;1;1;1,0;5,0
2026-07-08 12:07:55.094;172500,0;172600,0;172450,0;172450,0;43211,0;48679,0;4,73;131697,0;35692,0;-1;1;8;20,0;10,0;30,0;0;0;0;1;4,73;91890,0;0,30226201052415774;3,6898184467107473;12,116666666666667;0,2632978723404255;183,0099999999999;1;1;1,0;5,0
2026-07-09 11:12:01.979;173700,0;173750,0;173610,0;173750,0;25641,0;22478,0;1,7;67782,0;19262,0;1;1;6;18,0;8,0;28,0;0;0;0;1;1,7;48119,0;0,29009176477530907;3,518949226456235;11,2;0,3295819935691318;128,76000000000005;1;1;1,0;3,0
