regra,n_tr,n_te,lok_tr,lok_te,ic_te,lcont_tr,lcont_te,ok_te,R_te
pavio=50 & manha,572,321,-0.03082954634883613,0.00794242933902741,0.053267363376162384,-0.029433356650280185,-0.0014177585412241329,0.38317757009345793,
pavio=50 & cdelta_fav,645,410,-0.04190180742109719,-0.009381482217845159,0.04668129163677415,-0.02631089771386776,0.0034678884460868616,0.36585365853658536,
pavio<=65 & seq>=3,1684,1057,-0.01769518388838116,-0.017751760874847762,0.029339870999750155,-0.008170118732440395,-0.005627429265905266,0.3859981078524125,
pavio<=65 & seq>=5,735,476,-0.045673958788919444,-0.019700310027170143,0.04365702246254464,-0.024395793230028894,-0.004000544498805725,0.38445378151260506,
pavio<=65 & rqtd<0.6,1736,1086,-0.009053527304610925,-0.01588110535163028,0.02896227143177314,-0.008542368728917395,-0.0019191764970897494,0.3848987108655617,
pavio<=65 & rdur<0.6,2137,1369,-0.012281531266254803,-0.01631732053796326,0.025804614144327043,-0.0019540421065273508,-0.0017410574956626171,0.38568298027757486,
pavio<=65 & part>.85,354,260,-0.01706635563884177,-0.020183691287954206,0.05871946953887191,-0.02037082078567206,0.005311630716944102,0.38076923076923075,
pavio<=65 & part<.70,396,202,0.002128620984309164,-0.0036287224873752092,0.06830827868263684,-0.004664998792850996,0.01149537398923353,0.40594059405940597,
pavio<=65 & vel_alta,1425,840,-0.01383421882694918,-0.012947913004122725,0.032911636161178356,-0.006571578651486582,0.0058043607652951985,0.38571428571428573,
pavio<=65 & acel>2,218,142,-0.08341339835313014,0.0011785521407615544,0.08155657938317036,-0.0025973171722221307,-0.024085082500761558,0.4154929577464789,
pavio<=65 & acel<0.5,1703,1041,-0.014306911102027413,-0.016633394024906382,0.029580933129639685,-0.01118520310811346,-0.0010939684198695578,0.38424591738712777,
pavio<=65 & relqtd<0.5,1295,785,-0.01493968846411639,-0.020431343958748748,0.03398293516989342,-0.014416072098148587,-0.009251993065554643,0.38089171974522296,
pavio<=65 & tend5>0,2151,1337,-0.015070032539936258,-0.016027466868160947,0.026137560335873875,-0.008599005043101952,-0.0039374565072465935,0.387434554973822,
pavio<=65 & tend5forte,1482,941,-0.024220268975016578,-0.011474840412537868,0.03121675555337167,-0.014853715554594698,0.010374964739044139,0.39213602550478216,
